Grid_Dimension,Number_of_Steps,Number_of_Cores,Poisson,BC,Total_Computation_Time(ms)
50x50,100,1,0,0,1307
50x50,100,1,0,0,1043
50x50,100,1,0,0,1124
50x50,100,1,0,0,1069
50x50,100,1,0,0,1202
50x50,100,2,0,0,822
50x50,100,2,0,0,752
50x50,100,2,0,0,777
50x50,100,2,0,0,837
50x50,100,2,0,0,843
50x50,100,3,0,0,691
50x50,100,3,0,0,693
50x50,100,3,0,0,631
50x50,100,3,0,0,673
50x50,100,3,0,0,692
50x50,100,4,0,0,678
50x50,100,4,0,0,669
50x50,100,4,0,0,729
50x50,100,4,0,0,676
50x50,100,4,0,0,672
50x50,100,5,0,0,720
50x50,100,5,0,0,658
50x50,100,5,0,0,751
50x50,100,5,0,0,698
50x50,100,5,0,0,671
50x50,100,6,0,0,732
50x50,100,6,0,0,706
50x50,100,6,0,0,737
50x50,100,6,0,0,3607
50x50,100,6,0,0,691
50x50,100,7,0,0,621
50x50,100,7,0,0,771
50x50,100,7,0,0,732
50x50,100,7,0,0,628
50x50,100,7,0,0,762
50x50,100,8,0,0,671
50x50,100,8,0,0,636
50x50,100,8,0,0,757
50x50,100,8,0,0,634
50x50,100,8,0,0,819
50x50,100,9,0,0,647
50x50,100,9,0,0,595
50x50,100,9,0,0,698
50x50,100,9,0,0,750
50x50,100,9,0,0,744
50x50,100,10,0,0,837
50x50,100,10,0,0,679
50x50,100,10,0,0,984
50x50,100,10,0,0,611
50x50,100,10,0,0,704
50x50,100,11,0,0,1294
50x50,100,11,0,0,1206
50x50,100,11,0,0,1016
50x50,100,11,0,0,1171
50x50,100,11,0,0,1020
50x50,100,12,0,0,1946
50x50,100,12,0,0,1545
50x50,100,12,0,0,1444
50x50,100,12,0,0,2678
50x50,100,12,0,0,5700
50x50,100,13,0,0,961
50x50,100,13,0,0,912
50x50,100,13,0,0,984
50x50,100,13,0,0,902
50x50,100,13,0,0,923
50x50,100,14,0,0,967
50x50,100,14,0,0,885
50x50,100,14,0,0,943
50x50,100,14,0,0,986
50x50,100,14,0,0,1033
50x50,100,1,1,0,2457
50x50,100,1,1,0,2679
50x50,100,1,1,0,2645
50x50,100,1,1,0,2647
50x50,100,1,1,0,2601
50x50,100,2,1,0,1861
50x50,100,2,1,0,1751
50x50,100,2,1,0,1838
50x50,100,2,1,0,1934
50x50,100,2,1,0,1945
50x50,100,3,1,0,1798
50x50,100,3,1,0,1714
50x50,100,3,1,0,1711
50x50,100,3,1,0,1728
50x50,100,3,1,0,1655
50x50,100,4,1,0,1686
50x50,100,4,1,0,1626
50x50,100,4,1,0,1612
50x50,100,4,1,0,1635
50x50,100,4,1,0,1606
50x50,100,5,1,0,1713
50x50,100,5,1,0,1591
50x50,100,5,1,0,1598
50x50,100,5,1,0,1650
50x50,100,5,1,0,1664
50x50,100,6,1,0,1604
50x50,100,6,1,0,4679
50x50,100,6,1,0,1684
50x50,100,6,1,0,1675
50x50,100,6,1,0,1607
50x50,100,7,1,0,1866
50x50,100,7,1,0,1835
50x50,100,7,1,0,1750
50x50,100,7,1,0,1745
50x50,100,7,1,0,1685
50x50,100,8,1,0,1709
50x50,100,8,1,0,1737
50x50,100,8,1,0,1951
50x50,100,8,1,0,1844
50x50,100,8,1,0,1637
50x50,100,9,1,0,2081
50x50,100,9,1,0,2110
50x50,100,9,1,0,1957
50x50,100,9,1,0,1886
50x50,100,9,1,0,1977
50x50,100,10,1,0,2425
50x50,100,10,1,0,2210
50x50,100,10,1,0,2249
50x50,100,10,1,0,1938
50x50,100,10,1,0,2375
50x50,100,11,1,0,7495
50x50,100,11,1,0,3105
50x50,100,11,1,0,4211
50x50,100,11,1,0,3455
50x50,100,11,1,0,3210
50x50,100,12,1,0,26954
50x50,100,12,1,0,64946
50x50,100,12,1,0,24305
50x50,100,12,1,0,33583
50x50,100,12,1,0,3477
50x50,100,13,1,0,132423
50x50,100,13,1,0,132768
50x50,100,13,1,0,132846
50x50,100,13,1,0,129779
50x50,100,13,1,0,133277
50x50,100,14,1,0,142421
50x50,100,14,1,0,145414
50x50,100,14,1,0,142757
50x50,100,14,1,0,148414
50x50,100,14,1,0,150239
50x50,100,1,2,0,1666
50x50,100,1,2,0,1389
50x50,100,1,2,0,1508
50x50,100,1,2,0,1443
50x50,100,1,2,0,1430
50x50,100,2,2,0,943
50x50,100,2,2,0,920
50x50,100,2,2,0,937
50x50,100,2,2,0,3845
50x50,100,2,2,0,988
50x50,100,3,2,0,835
50x50,100,3,2,0,833
50x50,100,3,2,0,821
50x50,100,3,2,0,851
50x50,100,3,2,0,841
50x50,100,4,2,0,803
50x50,100,4,2,0,823
50x50,100,4,2,0,802
50x50,100,4,2,0,816
50x50,100,4,2,0,810
50x50,100,5,2,0,850
50x50,100,5,2,0,780
50x50,100,5,2,0,796
50x50,100,5,2,0,815
50x50,100,5,2,0,796
50x50,100,6,2,0,815
50x50,100,6,2,0,796
50x50,100,6,2,0,816
50x50,100,6,2,0,763
50x50,100,6,2,0,893
50x50,100,7,2,0,825
50x50,100,7,2,0,811
50x50,100,7,2,0,848
50x50,100,7,2,0,925
50x50,100,7,2,0,921
50x50,100,8,2,0,900
50x50,100,8,2,0,894
50x50,100,8,2,0,809
50x50,100,8,2,0,893
50x50,100,8,2,0,908
50x50,100,9,2,0,916
50x50,100,9,2,0,769
50x50,100,9,2,0,815
50x50,100,9,2,0,3749
50x50,100,9,2,0,924
50x50,100,10,2,0,948
50x50,100,10,2,0,855
50x50,100,10,2,0,747
50x50,100,10,2,0,884
50x50,100,10,2,0,993
50x50,100,11,2,0,1207
50x50,100,11,2,0,855
50x50,100,11,2,0,1040
50x50,100,11,2,0,931
50x50,100,11,2,0,1242
50x50,100,12,2,0,1381
50x50,100,12,2,0,1544
50x50,100,12,2,0,2892
50x50,100,12,2,0,1839
50x50,100,12,2,0,1922
50x50,100,13,2,0,19638
50x50,100,13,2,0,16775
50x50,100,13,2,0,19569
50x50,100,13,2,0,16530
50x50,100,13,2,0,19588
50x50,100,14,2,0,18855
50x50,100,14,2,0,22794
50x50,100,14,2,0,22427
50x50,100,14,2,0,19434
50x50,100,14,2,0,22345
50x50,100,1,3,0,1582
50x50,100,1,3,0,1246
50x50,100,1,3,0,1466
50x50,100,1,3,0,1344
50x50,100,1,3,0,1394
50x50,100,2,3,0,786
50x50,100,2,3,0,835
50x50,100,2,3,0,803
50x50,100,2,3,0,849
50x50,100,2,3,0,763
50x50,100,3,3,0,709
50x50,100,3,3,0,740
50x50,100,3,3,0,666
50x50,100,3,3,0,780
50x50,100,3,3,0,744
50x50,100,4,3,0,691
50x50,100,4,3,0,735
50x50,100,4,3,0,700
50x50,100,4,3,0,704
50x50,100,4,3,0,698
50x50,100,5,3,0,723
50x50,100,5,3,0,675
50x50,100,5,3,0,707
50x50,100,5,3,0,714
50x50,100,5,3,0,706
50x50,100,6,3,0,714
50x50,100,6,3,0,837
50x50,100,6,3,0,747
50x50,100,6,3,0,745
50x50,100,6,3,0,633
50x50,100,7,3,0,662
50x50,100,7,3,0,675
50x50,100,7,3,0,815
50x50,100,7,3,0,877
50x50,100,7,3,0,661
50x50,100,8,3,0,634
50x50,100,8,3,0,794
50x50,100,8,3,0,745
50x50,100,8,3,0,786
50x50,100,8,3,0,759
50x50,100,9,3,0,840
50x50,100,9,3,0,723
50x50,100,9,3,0,713
50x50,100,9,3,0,752
50x50,100,9,3,0,813
50x50,100,10,3,0,761
50x50,100,10,3,0,965
50x50,100,10,3,0,725
50x50,100,10,3,0,687
50x50,100,10,3,0,798
50x50,100,11,3,0,3978
50x50,100,11,3,0,1360
50x50,100,11,3,0,1337
50x50,100,11,3,0,877
50x50,100,11,3,0,848
50x50,100,12,3,0,1368
50x50,100,12,3,0,1219
50x50,100,12,3,0,898
50x50,100,12,3,0,1331
50x50,100,12,3,0,615
